sta      PGA_Z   PGA_X   PGA_Y   PGA_3D  PGA_H  triID        evtID
5AE29    1.11    0.75    0.73    1.53    1.04   1666727783   1666727764       20221025195604
8DD9B    2.47    3.45    4.75    6.37    5.87   1665429902   1665429882       20221010192442
5AE28    1.54    0.63    0.57    1.76    0.85   1670378333   1670378308       20221207015827
5AFEF    1.96    0.82    1.02    2.36    1.31   1665429902   1665429882       20221010192442
5AF1E    1.26    0.87    1.23    1.96    1.51   1657788185   1657788174       20220714084254
5AE6F    2.38    2.63    3.29    4.84    4.21   1665429902   1665429882       20221010192442
5AE4E    1.70    1.27    1.27    2.48    1.80   1665429902   1665429882       20221010192442
5AE3E    2.63    3.50    1.75    4.71    3.91   1667291429   1667291412       20221101083011
5AEE6    1.67    0.60    0.74    1.92    0.95   1657437002   1657436992       20220710070952
5AE98    1.02    0.62    1.37    1.82    1.51   1666971056   1666971044       20221028153043
5AEB7    5.59    2.25    1.25    6.16    2.57   1665616492   1665616424       20221012231343
5AFA8    2.43    0.64    0.66    2.60    0.92   1655377264   1655377256       20220616110055
5AEE6    3.59    1.12    1.31    3.98    1.72   1667291429   1667291412       20221101083011
5AE28    1.78    1.34    1.72    2.81    2.18   1665429902   1665429882       20221010192442
5AFEF    2.75    2.74    1.81    4.28    3.28   1666971063   1666971044       20221028153043
5AE3E    1.95    0.76    0.83    2.25    1.13   1663583626   1663583656       20220919103415
5AF8A    3.06    1.14    1.04    3.43    1.54   1667291429   1667291412       20221101083011
5AF30    4.20    0.59    0.86    4.33    1.05   1667291429   1667291412       20221101083011
5AFA8    3.77    0.84    0.99    3.99    1.30   1668908992   1668908982       20221120014941
5AE06    1.46    0.76    0.68    1.79    1.02   1668470834   1668470820       20221115000700
5AE6F    2.31    3.45    4.23    5.93    5.46   1666971066   1666971044       20221028153043
5B00B    2.39    1.53    1.81    3.37    2.38   1665429902   1665429882       20221010192442
5ADEE    1.70    2.04    1.15    2.89    2.34   1670432084   1670432068       20221207165428
5AF66    1.37    0.65    0.73    1.68    0.97   1668470834   1668470820       20221115000700
5AE90    1.93    1.18    0.72    2.37    1.38   1669484300   1669484284       20221126173804
5AE3E    3.81    8.27    5.55   10.66    9.96   1662526249   1662526244       20220907045043
5AE0A    1.82    4.35    8.42    9.66    9.48   1663478423   1663478360       20220918051919
5AE73    2.52    0.76    0.69    2.72    1.02   1667291429   1667291412       20221101083011
5AE0A    1.37    0.62    0.69    1.66    0.93   1665429902   1665429882       20221010192442
5AE1C    3.95    0.94    0.67    4.11    1.15   1663471491   1663471478       20220918032437
5AE1C    3.95    0.94    0.67    4.11    1.15   1663471491   1663471478       20220918032438
5AE21    3.02    1.60    1.47    3.72    2.17   1662526249   1662526244       20220907045043
5AFDE    5.97   12.45    6.82   15.40   14.19   1663483491   1663483456       20220918064415
5AFB5    3.00    0.70    0.69    3.15    0.98   1667268053   1667268162       20221101020241
5AEE6    2.64    0.77    0.79    2.86    1.10   1655377265   1655377256       20220616110055
5AEAB    3.06    3.19    2.50    5.08    4.05   1663483492   1663483456       20220918064415
5AF30    1.20    6.50   10.67   12.55   12.50   1655687040   1655687108       20220620010507
5AF30    1.20    6.50   10.67   12.55   12.50   1655687040   1655687146       20220620010546
5AF1E    2.67    0.56    0.62    2.79    0.84   1668908992   1668908982       20221120014941
5AF0F    2.57    0.69    0.62    2.73    0.93   1665995142   1665995092       20221017082452
5AEE6    2.95    2.84    2.91    5.02    4.07   1665429902   1665429882       20221010192442
5ADF9    5.63    0.86    1.62    5.93    1.83   1660819459   1660819464       20220818104423
5AF8A    3.51    1.00    0.92    3.76    1.36   1668908992   1668908982       20221120014941
5AE0A    1.90    0.62    0.70    2.12    0.93   1667291429   1667291412       20221101083011
5AE28    2.57    8.17    5.63   10.25    9.92   1666971062   1666971044       20221028153043
5AEE6    2.20    0.70    0.70    2.41    0.98   1658768842   1658768828       20220725170707
5AF1E    3.93    1.91    1.87    4.75    2.67   1663483493   1663483456       20220918064415
5AE28    1.54    0.63    0.57    1.76    0.85   1670378333   1670378308       20221207015827
5AE21    2.81    0.91    1.00    3.12    1.35   1667268214   1667268162       20221101020241
5B018    2.28    0.77    0.82    2.54    1.12   1668908994   1668908982       20221120014941
5AF8A    1.69    0.84    0.76    2.04    1.13   1658616063   1658616050       20220723224050
5AF48    2.64    1.87    1.15    3.44    2.20   1663483493   1663483456       20220918064415
5AE73    2.42    0.67    1.09    2.74    1.28   1668908992   1668908982       20221120014941
5AF30    3.88    0.65    0.74    4.01    0.98   1655377266   1655377256       20220616110055
5AFA8    1.72    0.59    0.67    1.94    0.89   1668470830   1668470820       20221115000700
5AE82    1.99    0.64    0.87    2.26    1.08   1657437002   1657436992       20220710070952
5AF0F    2.06    1.37    1.21    2.75    1.83   1655377266   1655377256       20220616110055
5AF1E    4.04    0.62    1.27    4.28    1.41   1663471491   1663471478       20220918032437
5AF1E    4.04    0.62    1.27    4.28    1.41   1663471491   1663471478       20220918032438
5AE21    4.28    6.97    2.26    8.48    7.32   1658198325   1658198400       20220719023959
5AE21    3.79    6.10    4.52    8.48    7.59   1665429909   1665429882       20221010192442
5AE50    1.91    0.74    0.64    2.14    0.98   1668908992   1668908982       20221120014941
5AE28    2.05    7.14    4.32    8.60    8.35   1663478422   1663478360       20220918051919
5AE29    2.73    1.47    1.64    3.51    2.21   1663483493   1663483456       20220918064415
5AE4E    1.38    0.81    0.85    1.81    1.18   1668908992   1668908982       20221120014941
5AE29    2.91    1.79    1.92    3.92    2.63   1665429902   1665429882       20221010192442
5AF48    2.35    0.67    0.62    2.52    0.91   1657763372   1657763476       20220714015116
5AEBA    0.93    1.40    0.78    1.85    1.60   1666971054   1666971044       20221028153043
5AE3E    3.50    5.61    5.79    8.79    8.06   1669484319   1669484284       20221126173804
5AE1C    1.27    0.80    0.72    1.67    1.08   1657437002   1657436992       20220710070952
5AFEF    2.32    1.42    1.01    2.90    1.75   1663483493   1663483456       20220918064415
5AE50    1.70    0.63    0.67    1.94    0.92   1667949988   1667949984       20221108232623
5AF1E    1.42    0.58    0.65    1.66    0.87   1658616063   1658616050       20220723224050
5AE3E    1.88    1.03    1.41    2.57    1.74   1663483473   1663483456       20220918064415
5ADEE    1.70    2.04    1.15    2.89    2.34   1670432084   1670432068       20221207165428
5AE3E    2.12    0.89    1.08    2.54    1.40   1667906543   1667906546       20221108112226
